collection,collected.by,archived.since,description,subject,creator,publisher,type,date,collector,language,extra
 Elon Coronavirus Website and Response , Elon University  ,2020-03,"
The Elon University Ready and Resilient Committee (subsequently Health Elon Committee) was a group of officials representing various areas around campus who sent weekly communications to the Elon community regarding the impact of the COVID-19 virus pandemic to campus life. They provided information about new cases, quarantines, testing, vaccinations, face coverings, good hygiene practices.",,NA,NA,NA,NA,NA,NA,NA
 Studio websites , Rhode Island School of Design  ,2020-08,"
Spatial Dynamics Radio’s public-facing website lists final projects developed by students from sections 8 and 17 during the Covid-19 pandemic, over the Spring semester, 2020. Spatial Dynamics Radio was a particular version of Spatial Dynamics, an Experimental and Foundation Studies required studio, conducted by assistant professor, architect and sound artist Nicolás Kisic Aguirre. The website also features artist Erin Genia’s cyber-visit as a blog post and a two-part radio interview.",,NA,NA,NA,NA,NA,NA,NA
 HBS News and Media , Harvard Business School ,2022-09,"
News and media by and about Harvard Business School. This collection includes sites from the HBS newsroom, HBS podcasts, and social media pages. News articles about HBS from other sources cover topics including: the Dean and deanship, campus events, and programs/curricula. For articles on the HBS response to the COVID-19 pandemic or racial justice efforts at HBS, see the Thematic Collections on those topics.",,NA,NA,NA,NA,NA,NA,NA
" Johns Hopkins Medicine, Nursing, and Public Health Website Collection ", Johns Hopkins University ,2018-03,"
The Johns Hopkins Medicine, Nursing, and Public Health website collection contains web content related to The Johns Hopkins Hospital and the Johns Hopkins University schools of medicine, nursing, and public health. Materials collected include webpages for health-related publications, podcasts, newsletters, press releases, online presentations, and general information, including extensive coverage of the COVID-19 pandemic. This collection also documents the homepages for several Johns Hopkins centers focused on communication and public health. Materials are collected and maintained by the Alan Mason Chesney Medical Archives at Johns Hopkins: medicalarchives.jhmi.edu",,NA,NA,NA,NA,NA,NA,NA
 Vaccine Hesitancy web archive , National Library of Medicine ,2019-03,"
A selective collection of nearly 300 web resources archived by the National Library of Medicine beginning in 2019 on vaccine hesitancy, a topic identified by the World Health Organization as a top threat to global health. The collection includes websites of U.S. federal agencies, state public health departments, community organizations, non-governmental organizations, advocacy groups, and a wide array of social media. The majority of these resources were captured prior to the Coronavirus Disease (COVID-19) Pandemic. Archived websites are primarily in English. NLM will continue to develop, review, describe, and add content to the collection.",,NA,NA,NA,NA,NA,NA,NA
 UBNow: News and views for the UB community , University at Buffalo ,2024-08,"
UBNow was created by University Communications to provide internal communications for University faculty and staff. The website serves as a daily news source for campus news, features, and multimedia. Contains many news articles written and published during the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Seosamh Mac Gabhann Summer School Website Archive: Sept 2022 , Seosamh Mac Gabhann Summer School ,2022-09,"
The Seosamh Mac Gabhann Summer School was established in 2011 in Kilmovee, County Mayo in memory of Seosamh Mac Gabhann. Seosamh was the Principal Teacher of Kilmovee No.1 National School and with his wife and fellow teacher, Bríd Áine, spent his life promoting traditional Irish music and Gaeilge. The Summer School ran for 12 years attracting pupils from all over the world. In 2020, 2021 and 2022, the Summer School moved to online tutorials conducted via Facebook Live, due to the covid-19 pandemic. The Summer School finally ended in 2022 as it outgrew the space available in Kilmovee to continue with the event. A history of the 12 Summer Schools from 2011 to 2022 is captured on the Seosamh Mac Gabhann Summer School website, with an archive of this website available here.",,NA,NA,NA,NA,NA,NA,NA
 General Election 2020 , National Library of Ireland ,2020-01,"
The 2020 Irish general election was held on Saturday 8th February. The 33rd Dáil was formed on the 27th June when Micheál Martin was elected Taoiseach and the coalition between Fianna Fáil, Fine Gael and the Green Party was formed. This collection encompasses media sites, commentary and news websites for this period. It also includes candidate websites from each constituency. These were selected on a random basis. Each constituency is represented by two candidate websites were possible. In Laois Offaly it was not possible to archive candidate websites as they did not exist. Instead, the Twitter account of Green Party candidate, Pippa Hackett was archived. In addition, the websites of the outgoing cabinet and retiring TDs were also archived. The websites of some relevant representative groups, charities and advocacy bodies were also included in this collection. Please note that the websites of political parties, archived at this time are included in their own collection. There may also be relevant coverage of the formation of government in the Covid-19 collection.",,NA,NA,NA,NA,NA,NA,NA
 2020 California Wildfires ," San Jose State University, School of Information ",2020-10,"
This collection contains a variety of articles and websites pertaining to the 2020 California wildfire season. Topics include specific fires, their causes and impact, satellite imagery and maps of fires, issues pertaining to wildfire smoke and air quality, the impact of climate change on wildfires in California, and the impact of the COVID-19 pandemic on wildfire preparedness.",,NA,NA,NA,NA,NA,NA,NA
 Cultural New Deal for Cultural and Racial Justice , Arts in a Changing America ,2024-04,"
The Cultural New Deal was birthed in the early months of the Covid pandemic (2020) when author Jeff Chang of Race Forward called upon a group of arts and social justice peers, including ArtChangeUS founder Roberta Uno. As the arts sector was beginning to discuss “relief and recovery,” they found themselves tapped by historically white arts organizations to give input at different tables that persist in marginalizing Black, Indigenous, Native American, Latinx, Chicanx, Arab, Middle Eastern, North African, South Asian, Southeast Asian, East Asian, Pacific Islander, and other people of color. Part call to action, part arts manifesto, and part road map, the Call was spearheaded by ArtChangeUS, the Center for Cultural Power, First Peoples Fund, the National Association of Latino Arts and Culture, Race Forward, and Sipp Culture. It was written in 2020 by Michele Kumi Baer, Jeff Chang, María López De León, Tara Dorabji, Kassandra L. Khalil, Lori Lea Pourier, Favianna Rodriguez, Nayantara Sen, Carlton Turner, Roberta Uno, and Elizabeth M. Webb, in consultation with Ananya Chatterjea, Ananya Dance Theatre; Sonya Childress, Perspective Fund; Pamela J. Peters; Randy Reinholz, Native Voices; Lula and Erwin Washington and Tamica Washington-Miller, Lula Washington Dance Theatre; Dyani White Hawk; and Carrie Mae Weems. It was translated by Yahaira Carrillo Rosales.",,NA,NA,NA,NA,NA,NA,NA
 Fales Library: Dixon Place , New York University ,2015-10,"
Dixon Place is an experimental nonprofit theater in New York that supports original theater, puppetry, dance, music, and circus arts. It was first conceived in 1985 in the Paris apartment of artistic director Ellie Covan. In 1986, Covan began the theater in her East First Street apartment with a weekly reading series called Tuesdays at Dixon Place. In 1991, Dixon Place moved to a location on the Bowery and in 1999 became the resident company at Vineyard Theater. Dixon Place served as an incubator for artists such as Deb Margolin, Blue Man Group, John Leguizamo, Lisa Kron, David Cale, Penny Arcade, and Reno. In 2009, Dixon Place moved into its permanent home on Chrystie Street. The space consists of a 150 person theater, lounge, and bar.",,NA,NA,NA,NA,NA,NA,NA
 Extreme Right Movements in Europe , Ivy Plus Libraries Confederation ,2019-01,"
The Extreme Right Movements in Europe Web Archive is a collection built by members of the Ivies Plus Western European Studies Affinity Group, under the auspices of the Ivy Plus Libraries Confederation. By ‘extreme right’ the Group understands a large ideological spectrum of radical right thinking, extending from anti-globalization and right-wing populism, to white nationalism, neo-fascism, and extremism. Extreme right movements and ideology share a number of features, which typically include hostility to globalization, fervent criticism of immigration, and have political, social, and religious aspects, and exist outside of and are more radical than mainstream conservatism. The Archive collects a wide array of web content, and aims to preserve this content for scholars, teachers, and future researchers in the humanities and social sciences as documentation of the rise of extreme right movements in Europe in the early twenty-first century. Most of the sites in this archive were added to the seed list in 2018 and it has not been significantly expanded since then. Much right-wing activity on the Internet has migrated from stable websites to social media platforms such as 8kun, Twitter, Telegram chats or Facebook--services that a web archive is not able for technical or legal reasons to capture comprehensively. This archive thus represents a snapshot in time, when the energy in European right-wing activity was rooted in anti-immigration, Islamophobia, long-standing issues exacerbated by the 2015 migration crisis. We have not systematically added any new sites reflecting the COVID-19 pandemic, vaccine skepticism, QAnon, or the aftermath of the US 2020 election. The Archive is still actively crawling the sites listed. Although some users may find this content offensive or dangerous, its primary purpose is for research and teaching. Due to the nature of this material, access to the Archive is restricted to on-campus use within the Ivy Plus Libraries Confederation. If you have questions about this collection, please contact erme@library.columbia.edu.",,NA,NA,NA,NA,NA,NA,NA
 Charlotte County TV , Charlotte County Archives ,2021-09,"
Charlotte County Television is a truly local television channel with production and broadcasting facilities centrally located in Saint Andrews, NB. CHCO-TV captures and shares news from around Charlotte County, and provincial and federal political elections. During the Covid-19 pandemic the CHCO-TV has provided coverage of local and provincial health updates.",,NA,NA,NA,NA,NA,NA,NA
